Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub15ex2,3.0,0.64359352,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub15ex2,4.0,0.58910162,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub15ex2,5.0,0.612094395,0.618147892,"[0.6828314013953523, 0.45013150038670047, 0.6684993546286291]"
sub15ex3,1.0,0.509572901,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub15ex3,2.0,0.500736377,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub15ex3,3.0,0.513991163,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub15ex3,4.0,0.45802651,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
sub15ex3,5.0,0.482300885,0.492925567,"[0.5296233742589612, 0.4551867602294141, 0.49059586261904603]"
,,,,
sub1ex1,1.0,0.645066274,0.631105956,"[0.6728603166846362, 0.5870529972814953, 0.6245439679796448]"
sub1ex1,2.0,0.628865979,0.631105956,"[0.6728603166846362, 0.5870529972814953, 0.6245439679796448]"
sub1ex1,3.0,0.655375552,0.631105956,"[0.6728603166846362, 0.5870529972814953, 0.6245439679796448]"
sub1ex1,4.0,0.621502209,0.631105956,"[0.6728603166846362, 0.5870529972814953, 0.6245439679796448]"
sub1ex1,5.0,0.604719764,0.631105956,"[0.6728603166846362, 0.5870529972814953, 0.6245439679796448]"
sub1ex2,1.0,0.678939617,0.657919203,"[0.7112432831333095, 0.5265205397455286, 0.6980976892758635]"
sub1ex2,2.0,0.656848306,0.657919203,"[0.7112432831333095, 0.5265205397455286, 0.6980976892758635]"
sub1ex2,3.0,0.689248895,0.657919203,"[0.7112432831333095, 0.5265205397455286, 0.6980976892758635]"
sub1ex2,4.0,0.628865979,0.657919203,"[0.7112432831333095, 0.5265205397455286, 0.6980976892758635]"
sub1ex2,5.0,0.635693215,0.657919203,"[0.7112432831333095, 0.5265205397455286, 0.6980976892758635]"
sub1ex3,1.0,0.51988218,0.523276899,"[0.5382723932163178, 0.4864631984291032, 0.542147115912249]"
sub1ex3,2.0,0.525773196,0.523276899,"[0.5382723932163178, 0.4864631984291032, 0.542147115912249]"
sub1ex3,3.0,0.53460972,0.523276899,"[0.5382723932163178, 0.4864631984291032, 0.542147115912249]"
sub1ex3,4.0,0.511045655,0.523276899,"[0.5382723932163178, 0.4864631984291032, 0.542147115912249]"
sub1ex3,5.0,0.525073746,0.523276899,"[0.5382723932163178, 0.4864631984291032, 0.542147115912249]"
,,0.604100686,,
sub1ex1,1.0,0.4609720176730486,0.4681837336704594,"[0.49202013036012043, 0.359992497462377, 0.545629158777236]"
sub1ex1,2.0,0.4580265095729013,0.4681837336704594,"[0.49202013036012043, 0.359992497462377, 0.545629158777236]"
sub1ex1,3.0,0.4786450662739323,0.4681837336704594,"[0.49202013036012043, 0.359992497462377, 0.545629158777236]"
sub1ex1,4.0,0.4594992636229749,0.4681837336704594,"[0.49202013036012043, 0.359992497462377, 0.545629158777236]"
sub1ex1,5.0,0.4837758112094395,0.4681837336704594,"[0.49202013036012043, 0.359992497462377, 0.545629158777236]"
sub1ex2,1.0,0.4992636229749632,0.4896941971752665,"[0.5283664855017864, 0.39318168971405937, 0.5238152155864004]"
sub1ex2,2.0,0.4933726067746686,0.4896941971752665,"[0.5283664855017864, 0.39318168971405937, 0.5238152155864004]"
sub1ex2,3.0,0.4742268041237113,0.4896941971752665,"[0.5283664855017864, 0.39318168971405937, 0.5238152155864004]"
sub1ex2,4.0,0.4698085419734904,0.4896941971752665,"[0.5283664855017864, 0.39318168971405937, 0.5238152155864004]"
sub1ex2,5.0,0.5117994100294986,0.4896941971752665,"[0.5283664855017864, 0.39318168971405937, 0.5238152155864004]"
sub1ex3,1.0,0.4477172312223859,0.4392960322528793,"[0.43262166684907, 0.40632153012710415, 0.4762507941134455]"
sub1ex3,2.0,0.438880706921944,0.4392960322528793,"[0.43262166684907, 0.40632153012710415, 0.4762507941134455]"
sub1ex3,3.0,0.4727540500736377,0.4392960322528793,"[0.43262166684907, 0.40632153012710415, 0.4762507941134455]"
sub1ex3,4.0,0.4270986745213549,0.4392960322528793,"[0.43262166684907, 0.40632153012710415, 0.4762507941134455]"
sub1ex3,5.0,0.4100294985250737,0.4392960322528793,"[0.43262166684907, 0.40632153012710415, 0.4762507941134455]"
sub1ex1,1.0,0.8424153166421208,0.8470803411228556,"[0.788046557749677, 0.8261908378187528, 0.9212038822147832]"
sub1ex1,2.0,0.8409425625920471,0.8470803411228556,"[0.788046557749677, 0.8261908378187528, 0.9212038822147832]"
sub1ex1,3.0,0.8468335787923417,0.8470803411228556,"[0.788046557749677, 0.8261908378187528, 0.9212038822147832]"
sub1ex1,4.0,0.8674521354933726,0.8470803411228556,"[0.788046557749677, 0.8261908378187528, 0.9212038822147832]"
sub1ex1,5.0,0.8377581120943953,0.8470803411228556,"[0.788046557749677, 0.8261908378187528, 0.9212038822147832]"
sub1ex2,1.0,0.7776141384388807,0.7740087148808981,"[0.7412833450140648, 0.7158150497102754, 0.8582131529026492]"
sub1ex2,2.0,0.7673048600883653,0.7740087148808981,"[0.7412833450140648, 0.7158150497102754, 0.8582131529026492]"
sub1ex2,3.0,0.7849779086892489,0.7740087148808981,"[0.7412833450140648, 0.7158150497102754, 0.8582131529026492]"
sub1ex2,4.0,0.780559646539028,0.7740087148808981,"[0.7412833450140648, 0.7158150497102754, 0.8582131529026492]"
sub1ex2,5.0,0.7595870206489675,0.7740087148808981,"[0.7412833450140648, 0.7158150497102754, 0.8582131529026492]"
sub1ex3,1.0,0.748159057437408,0.7321733766036294,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,2.0,0.7187039764359352,0.7321733766036294,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,3.0,0.748159057437408,0.7321733766036294,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,4.0,0.7172312223858616,0.7321733766036294,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
sub1ex3,5.0,0.7286135693215339,0.7321733766036294,"[0.6433153634481739, 0.7167255278346459, 0.8278915368444656]"
